image,class,sha256,split,version
SPC-EAWAG-0P5X-1570543372901157-3725350526242-001629-055-1224-2176-84-64.jpeg,aphanizomenon,6fb0b3fa4b36614703ee1abdcf8efba4cd936982ca5fb69ede84ca6699cd8cb8,train,1
SPC-EAWAG-0P5X-1570543374882008-3725352526408-001649-138-1826-1500-72-56.jpeg,aphanizomenon,09e4aa12fdc992bbd840b7913f6f35394637bc2135c49fdbdb823b22cf03e2b1,train,1
SPC-EAWAG-0P5X-1589472012505862-10217420880920-000029-038-2396-558-68-116.jpeg,aphanizomenon,1ace5cdd5a68e8cd5fa703c92ac7c6e6b1d362b517132fcf08dcf63ec6da4467,train,1
SPC-EAWAG-0P5X-1589472120505648-10217528889899-001109-014-1434-1336-92-124.jpeg,aphanizomenon,f9a38d8538b1ac64383199851c61ad2f7f784e430086ea0efd045fe4b7d55197,train,1
SPC-EAWAG-0P5X-1589472588541825-10217996928805-005789-022-1522-846-60-172.jpeg,aphanizomenon,5ca3294d8df48501fd83731564c93442fedd1002c1b6f4a3436bb790bd39a2e9,train,1
SPC-EAWAG-0P5X-1589537172865790-10282580280485-003629-004-2080-1940-112-96.jpeg,aphanizomenon,78cc8c18033cd74a78ba6951584dd633d17738f9b2285efa83f6b1afa3f2feb9,train,1
SPC-EAWAG-0P5X-1589724195163031-10469599715113-001859-004-1680-1582-76-132.jpeg,aphanizomenon,cbb6d295d4e65e071ffa8206e52173140895bc30d54e3f4d103b95f64d112984,train,1
SPC-EAWAG-0P5X-1589724592182114-10469996748117-005829-010-2012-1760-136-112.jpeg,aphanizomenon,90e46d987c2761b9f15929523f8a61d8903178a46d4a03564cdb6a58175d126e,train,1
SPC-EAWAG-0P5X-1589850078628931-10595481251303-000689-023-1610-680-84-60.jpeg,aphanizomenon,8b8595c3dcffce217b634a8723ad8e67bf0fbf0d7cf60614bb03cd8b9c0688df,train,1
SPC-EAWAG-0P5X-1589882443651683-10627845761955-000339-027-1224-1190-32-64.jpeg,aphanizomenon,ce3780130b8f84c152cc3a934856174f90912d1ff6fc6624c6f7c78d172f1734,train,1
SPC-EAWAG-0P5X-1589882505698610-10627907767109-000959-044-1444-702-68-56.jpeg,aphanizomenon,b0d2cdc3d6e4166ebb1986d5d18db7ac32d9be3a1b06beb8db4b8a96f1f65625,train,1
SPC-EAWAG-0P5X-1589882693713813-10628095782738-002839-031-1154-946-56-48.jpeg,aphanizomenon,71c26d7ee12399f39ad02ed0c10a0fa5cd7ffa7f38d681fab6c6f8482f21fbd2,train,1
